rowid,pl_name,hostname,pl_letter,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,st_spectype,st_teff,st_rad,st_mass,ra,dec,sy_dist,sy_plx
499,EPIC 220674823 c,EPIC 220674823,c,Transit,2016,13.3387,0.1071,2.77,0.24712285,5.7,0.01793412,,5496.0,0.95,0.92,13.0800239,10.7947051,244.59,4.06029
500,EPIC 220674823 c,EPIC 220674823,c,Transit,2016,13.33918,,3.01,0.26853468,5.0,0.01573176,,5496.0,0.995,0.91,13.0800239,10.7947051,244.59,4.06029
501,EPIC 220674823 c,EPIC 220674823,c,Transit,2016,13.3397,0.1083,2.836,0.25301141,8.9,0.02800253,,5532.0,0.988,0.95,13.0800239,10.7947051,244.59,4.06029
502,EPIC 220674823 c,EPIC 220674823,c,Transit,2016,13.33877,,3.79,0.338,,,,,1.02,,13.0800239,10.7947051,244.59,4.06029
503,EPIC 220674823 c,EPIC 220674823,c,Transit,2016,13.339746,,2.70490157,0.24131516,,,,5590.0,0.906429,0.966939,13.0800239,10.7947051,244.59,4.06029
504,EPIC 220674823 c,EPIC 220674823,c,Transit,2016,13.339079,0.1091,2.73,0.24355429,,,,5617.0,0.98,0.97,13.0800239,10.7947051,244.59,4.06029
505,EPIC 220674823 c,EPIC 220674823,c,Transit,2016,13.341245,,2.53,0.22571148,,,G5,5590.0,0.83,0.93,13.0800239,10.7947051,244.59,4.06029
506,EPIC 220674823 c,EPIC 220674823,c,Transit,2016,13.338687,,2.8,0.25,,,,,0.97,,13.0800239,10.7947051,244.59,4.06029
507,EPIC 220674823 c,EPIC 220674823,c,Transit,2016,13.33989,0.1073,2.84,0.25336827,7.32,0.0230313,,5578.0,0.99,0.913,13.0800239,10.7947051,244.59,4.06029
508,EPIC 220674823 c,EPIC 220674823,c,Transit,2016,13.3397,0.105,2.5,0.22303506,5.8,0.01824875,G5 V,5470.0,0.869,0.945,13.0800239,10.7947051,244.59,4.06029
509,EPIC 228836835 b,EPIC 228836835,b,Transit,2021,0.72813,,1.27,0.113,,,,3506.0,0.423901,0.418179,189.5748998,-5.2446247,150.124,6.63375
510,EPIC 228836835 b,EPIC 228836835,b,Transit,2021,0.728113,,1.1,0.0981356,,,,3782.0,0.32,,189.5748998,-5.2446247,150.124,6.63375
511,EPIC 229004835 b,EPIC 229004835,b,Transit,2023,16.140442,,2.05969274,0.18,,,,5870.0,0.975013,,186.4860415,-1.4047214,121.971,8.17036
512,EPIC 229004835 b,EPIC 229004835,b,Transit,2023,16.1388,,2.18,0.19448691,19.3,0.06072459,,5839.0,0.998,0.95,186.4860415,-1.4047214,121.971,8.17036
513,EPIC 229004835 b,EPIC 229004835,b,Transit,2023,16.13655,,2.02,0.18,,,,5886.0,0.995311,1.067,186.4860415,-1.4047214,121.971,8.17036
514,EPIC 229004835 b,EPIC 229004835,b,Transit,2023,16.141132,0.1237,2.332,0.20804746,10.4,0.03272206,,5868.0,0.999,0.97,186.4860415,-1.4047214,121.971,8.17036
515,EPIC 246851721 b,EPIC 246851721,b,Transit,2018,6.180235,0.07229,11.780659,1.051,953.49,3.0,F5 V,6202.0,1.586,1.317,78.9198197,16.2786991,372.632,2.66391
516,EPIC 246851721 b,EPIC 246851721,b,Transit,2018,6.1802679,,,,,,F5 V,6202.0,1.586,1.317,78.9198197,16.2786991,372.632,2.66391
517,EPIC 246851721 b,EPIC 246851721,b,Transit,2018,6.18026138745,,13.70374653,1.22256848,,,,6513.0,1.73931,,78.9198197,16.2786991,372.632,2.66391
518,EPIC 248847494 b,EPIC 248847494,b,Transit,2018,3650.0,4.5,12.44199,1.11,4131.79,13.0,,4898.0,2.7,0.9,159.3890808,11.8427484,551.886,1.78346
519,EPIC 249893012 b,EPIC 249893012,b,Transit,2020,3.5951,0.047,1.95,0.17396735,8.75,0.02753044,G8 IV/V,5430.0,1.71,1.05,228.2482353,-16.7246474,321.296,3.08429
520,EPIC 249893012 c,EPIC 249893012,c,Transit,2020,15.624,0.13,3.67,0.32741547,14.67,0.04615675,G8 IV/V,5430.0,1.71,1.05,228.2482353,-16.7246474,321.296,3.08429
521,EPIC 249893012 d,EPIC 249893012,d,Transit,2020,35.747,0.22,3.94,0.35150326,10.18,0.0320297,G8 IV/V,5430.0,1.71,1.05,228.2482353,-16.7246474,321.296,3.08429
522,FU Tau b,FU Tau,b,Imaging,2008,,726.0,,,6038.739733,19.0,,,,,65.8974962,25.0506711,,
523,FU Tau b,FU Tau,b,Imaging,2008,,800.0,,,5085.28,16.0,M7.25,2838.0,,0.05,65.8974962,25.0506711,,
524,G 192-15 b,G 192-15,b,Radial Velocity,2025,2.27476,0.01723,,,,,M5.0 V,,,0.132,90.6220931,49.861939,9.53114,104.89
525,G 192-15 c,G 192-15,c,Radial Velocity,2025,1219.0,1.137,,,,,M5.0 V,,,0.132,90.6220931,49.861939,9.53114,104.89
526,G 196-3 b,G 196-3,b,Imaging,2024,,350.0,,,8263.538582,26.0,,,,,151.0884754,50.3861806,21.7912,45.8611
527,G 261-6 b,G 261-6,b,Radial Velocity,2025,5.4536,0.02971,,,,,M5.5 V,,,0.118,291.07432,75.5558405,10.6267,94.0738
528,G 264-012 b,G 264-012,b,Radial Velocity,2021,2.30538,0.02279,,,,,M4.0 V,3326.0,0.305,0.297,326.6719598,66.803848,16.009,62.4358
529,G 264-012 c,G 264-012,c,Radial Velocity,2021,8.0518,0.0525,,,,,M4.0 V,3326.0,0.305,0.297,326.6719598,66.803848,16.009,62.4358
530,G 268-110 b,G 268-110,b,Radial Velocity,2025,1.43263,0.01283,,,,,M5.0 V,,,0.137,16.223688,-18.124802,,
531,G 9-40 b,G 9-40,b,Transit,2019,5.7459945,,2.06081,0.18385347,,,,3413.0,0.32,,134.7188514,21.0747961,27.9276,35.7781
532,G 9-40 b,G 9-40,b,Transit,2019,5.7459996,,,,,,M2.5 V,3348.0,0.3073,0.29,134.7188514,21.0747961,27.9276,35.7781
533,G 9-40 b,G 9-40,b,Transit,2019,5.745912,,,,,,,3390.0,0.307,,134.7188514,21.0747961,27.9276,35.7781
534,G 9-40 b,G 9-40,b,Transit,2019,5.7459982,0.0418,1.9,0.16950694,4.0,0.01258541,,3395.0,0.3026,0.2952,134.7188514,21.0747961,27.9276,35.7781
535,G 9-40 b,G 9-40,b,Transit,2019,5.746007,0.0385,2.025,0.1806584,11.7,0.03681232,M2.5 V,3348.0,0.3073,0.29,134.7188514,21.0747961,27.9276,35.7781
536,GJ 1002 b,GJ 1002,b,Radial Velocity,2022,10.3465,0.0457,,,,,M5.5 V,3024.0,0.137,0.12,1.6764641,-7.5462123,4.84867,206.213
537,GJ 1002 c,GJ 1002,c,Radial Velocity,2022,21.202,0.0738,,,,,M5.5 V,3024.0,0.137,0.12,1.6764641,-7.5462123,4.84867,206.213
538,GJ 1061 b,GJ 1061,b,Radial Velocity,2020,3.204,0.021,,,,,M5.5 V,2953.0,0.156,0.12,54.0032486,-44.5143104,3.67278,272.245
539,GJ 1061 c,GJ 1061,c,Radial Velocity,2020,6.689,0.035,,,,,M5.5 V,2953.0,0.156,0.12,54.0032486,-44.5143104,3.67278,272.245
540,GJ 1061 d,GJ 1061,d,Radial Velocity,2020,13.031,0.054,,,,,M5.5 V,2953.0,0.156,0.12,54.0032486,-44.5143104,3.67278,272.245
541,GJ 1132 b,GJ 1132,b,Transit,2015,1.62893219977,,1.21456642,0.10835655,,,,3202.0,0.226407,,153.7090696,-47.1549358,12.613,79.2543
542,GJ 1132 b,GJ 1132,b,Transit,2015,1.62892911,0.0157,1.19151465,0.1063,1.83704819,0.00578,,3229.0,0.2211,0.1945,153.7090696,-47.1549358,12.613,79.2543
543,GJ 1132 b,GJ 1132,b,Transit,2015,1.628931,0.0153,1.13,0.10081185,1.66,0.00522292,,3270.0,0.2105,0.181,153.7090696,-47.1549358,12.613,79.2543
544,GJ 1132 b,GJ 1132,b,Transit,2015,,,,,1.58,0.00497121,,,,,153.7090696,-47.1549358,12.613,79.2543
545,GJ 1132 b,GJ 1132,b,Transit,2015,1.6289287,0.01533,1.43,0.12757605,1.63,0.00512853,,,0.255,0.181,153.7090696,-47.1549358,12.613,79.2543
546,GJ 1132 b,GJ 1132,b,Transit,2015,1.6289304,,,,,,M4.5 V,3270.0,0.207,0.181,153.7090696,-47.1549358,12.613,79.2543
547,GJ 1132 b,GJ 1132,b,Transit,2015,1.62893,,1.16,0.10348827,1.62,0.00509706,M4.5 V,3270.0,0.207,0.181,153.7090696,-47.1549358,12.613,79.2543
548,GJ 1132 c,GJ 1132,c,Radial Velocity,2018,8.929,0.0476,,,,,,3270.0,0.2105,0.181,153.7090696,-47.1549358,12.613,79.2543
549,GJ 1148 b,GJ 1148,b,Radial Velocity,2010,41.38,0.166,,,,,,3287.0,0.358519,0.344045,175.4326081,42.7515862,11.0143,90.7623
550,GJ 1148 b,GJ 1148,b,Radial Velocity,2010,41.375,0.1686,,,,,,3357.57,0.36664,0.373585,175.4326081,42.7515862,11.0143,90.7623
551,GJ 1148 b,GJ 1148,b,Radial Velocity,2010,41.397,0.163506,,,,,,3287.0,0.358519,0.344045,175.4326081,42.7515862,11.0143,90.7623
552,GJ 1148 c,GJ 1148,c,Radial Velocity,2017,532.58,0.912,,,,,,3287.0,0.358519,0.344045,175.4326081,42.7515862,11.0143,90.7623
553,GJ 1148 c,GJ 1148,c,Radial Velocity,2017,535.9,0.9302,,,,,,3357.57,0.36664,0.373585,175.4326081,42.7515862,11.0143,90.7623
554,GJ 1151 c,GJ 1151,c,Radial Velocity,2023,389.7,0.5714,,,,,M 4.5V,3280.0,0.1781,0.1639,177.7304866,48.3732334,8.03625,124.407
555,GJ 1214 b,GJ 1214,b,Transit,2009,1.580404938,,,,,,,3074.0,0.214572,0.183607,258.8313991,4.9606795,14.6427,68.2653
556,GJ 1214 b,GJ 1214,b,Transit,2009,1.58040482,,2.65,0.236,6.45,0.02,,3170.0,0.179,0.156,258.8313991,4.9606795,14.6427,68.2653
557,GJ 1214 b,GJ 1214,b,Transit,2009,1.58040481,,,,,,,3026.0,0.21,,258.8313991,4.9606795,14.6427,68.2653
558,GJ 1214 b,GJ 1214,b,Transit,2009,1.58040464894,,,,,,,3074.0,0.214572,0.183607,258.8313991,4.9606795,14.6427,68.2653
559,GJ 1214 b,GJ 1214,b,Transit,2009,,,,,,,,3026.0,0.201,,258.8313991,4.9606795,14.6427,68.2653
560,GJ 1214 b,GJ 1214,b,Transit,2009,1.58040433,0.0149,2.742,0.24462528,8.17,0.02570569,M4 V,3250.0,0.215,0.178,258.8313991,4.9606795,14.6427,68.2653
561,GJ 1214 b,GJ 1214,b,Transit,2009,1.580404571,,,,,,,3026.0,0.211,0.157,258.8313991,4.9606795,14.6427,68.2653
562,GJ 1214 b,GJ 1214,b,Transit,2009,1.58040481,,,,,,,3000.0,,,258.8313991,4.9606795,14.6427,68.2653
563,GJ 1214 b,GJ 1214,b,Transit,2009,,,,,,,,,,,,,,
564,GJ 1214 b,GJ 1214,b,Transit,2009,1.580404341,,,,,,,,,,258.8313991,4.9606795,14.6427,68.2653
565,GJ 1214 b,GJ 1214,b,Transit,2009,1.58040456,0.01411,2.847086,0.254,6.261251,0.0197,,3026.0,0.216,0.15,258.8313991,4.9606795,14.6427,68.2653
566,GJ 1214 b,GJ 1214,b,Transit,2009,1.5803925,,2.678,0.239,6.55,0.021,,3026.0,0.211,0.157,258.8313991,4.9606795,14.6427,68.2653
567,GJ 1214 b,GJ 1214,b,Transit,2009,1.5804043,,2.61,0.2328486,,,,,0.201,,258.8313991,4.9606795,14.6427,68.2653
568,GJ 1214 b,GJ 1214,b,Transit,2009,1.580404531,0.01505,2.733,0.24382235,8.41,0.02646082,,3101.0,0.2162,0.182,258.8313991,4.9606795,14.6427,68.2653
569,GJ 1214 b,GJ 1214,b,Transit,2009,1.580408346,,,,,,,3074.0,0.214572,0.183607,258.8313991,4.9606795,14.6427,68.2653
570,GJ 1214 b,GJ 1214,b,Transit,2009,1.58040482,,2.27,0.203,6.43,0.02,,,0.21,0.157,258.8313991,4.9606795,14.6427,68.2653
571,GJ 1214 b,GJ 1214,b,Transit,2009,1.58040417,,,,,,,3250.0,0.2213,0.176,258.8313991,4.9606795,14.6427,68.2653
572,GJ 1214 b,GJ 1214,b,Transit,2009,1.5804049,,2.64,0.24,,,,,0.2064,0.157,258.8313991,4.9606795,14.6427,68.2653
573,GJ 1214 b,GJ 1214,b,Transit,2009,1.58040487,,2.74,0.24444643,6.37,0.02004216,,2949.0,0.21,0.153,258.8313991,4.9606795,14.6427,68.2653
574,GJ 1214 b,GJ 1214,b,Transit,2009,1.58040454,,,,,,,3026.0,0.211,0.157,258.8313991,4.9606795,14.6427,68.2653
575,GJ 1252 b,GJ 1252,b,Transit,2020,0.5182349,0.00916,1.193,0.10643233,2.09,0.00657584,M3,3458.0,0.391,0.381,306.9286462,-56.4622865,20.373,49.0558
576,GJ 1252 b,GJ 1252,b,Transit,2020,0.51824246094,,1.34851206,0.12030639,,,,3325.0,0.390989,,306.9286462,-56.4622865,20.373,49.0558
577,GJ 1252 b,GJ 1252,b,Transit,2020,0.5182416,0.00915,1.18,0.10527273,1.32,0.00415318,,3458.0,0.391,0.381,306.9286462,-56.4622865,20.373,49.0558
578,GJ 1252 b,GJ 1252,b,Transit,2020,0.5182464,,,,,,M3,3458.0,0.391,0.381,306.9286462,-56.4622865,20.373,49.0558
579,GJ 1252 b,GJ 1252,b,Transit,2020,0.5182331,,1.193,0.10643251,1.32,0.00415318,M3,3458.0,0.391,0.381,306.9286462,-56.4622865,20.373,49.0558
580,GJ 1252 b,GJ 1252,b,Transit,2020,0.5182418,,,,,,M3,3458.0,0.391,0.381,306.9286462,-56.4622865,20.373,49.0558
581,GJ 1265 b,GJ 1265,b,Radial Velocity,2018,3.6511,0.026,,,,,M4.5 V,3236.0,0.192,0.178,333.4324675,-17.6870623,10.2525,97.5087
582,GJ 1289 b,GJ 1289,b,Radial Velocity,2024,111.74,0.27,,,,,M4.5 Ve,3296.0,,0.21,355.7813464,36.5363314,8.35147,119.711
583,GJ 143 b,GJ 143,b,Transit,2019,35.6134391,,3.12194,0.27852131,,,,4628.53,0.71,,51.7501882,-63.500166,16.32,61.2455
584,GJ 143 b,GJ 143,b,Transit,2019,35.61253,0.1915,2.61,0.2328486,22.7,0.07142183,K4.5,4640.0,0.695,0.73,51.7501882,-63.500166,16.32,61.2455
585,GJ 143 b,GJ 143,b,Transit,2019,35.589,0.1932,,,30.63,0.09637227,,,0.73,0.76,51.7501882,-63.500166,16.32,61.2455
586,GJ 15 A b,GJ 15 A,b,Radial Velocity,2014,11.4433,0.0717,,,,,M2 V,3567.0,0.3863,0.375,4.6126677,44.0247296,3.56228,280.69
587,GJ 15 A b,GJ 15 A,b,Radial Velocity,2014,11.4407,0.072,,,,,M1,3607.0,0.38,0.38,4.6126677,44.0247296,3.56228,280.69
588,GJ 15 A b,GJ 15 A,b,Radial Velocity,2014,11.4432,0.0732,,,,,,3742.67,0.375411,0.399648,4.6126677,44.0247296,3.56228,280.69
589,GJ 15 A c,GJ 15 A,c,Radial Velocity,2018,7600.0,5.4,,,,,M1,3607.0,0.38,0.38,4.6126677,44.0247296,3.56228,280.69
590,GJ 160.2 b,GJ 160.2,b,Radial Velocity,2014,5.2354,0.053,,,,,M0 V,4347.0,,0.69,61.6454173,-20.8564724,25.8557,38.6473
591,GJ 163 b,GJ 163,b,Radial Velocity,2013,8.63182,0.0607,,,,,,,,,62.3228353,-53.3711768,15.1285,66.0714
592,GJ 163 c,GJ 163,c,Radial Velocity,2013,25.63058,0.1254,,,,,,,,,62.3228353,-53.3711768,15.1285,66.0714
593,GJ 163 d,GJ 163,d,Radial Velocity,2013,603.95116,1.0304,,,,,,,,,62.3228353,-53.3711768,15.1285,66.0714
594,GJ 179 b,GJ 179,b,Radial Velocity,2009,2288.0,2.41,,,,,M3.5 V,3370.0,0.38,0.357,73.0245495,6.4752347,12.356,80.9036
595,GJ 179 b,GJ 179,b,Radial Velocity,2009,2303.0,2.424,,,301.93698665,0.95,M2 V,3370.0,,0.357,73.0245495,6.4752347,12.356,80.9036
596,GJ 179 b,GJ 179,b,Radial Velocity,2009,2333.0,2.523,,,,,,3411.78,0.381487,0.393442,73.0245495,6.4752347,12.356,80.9036
597,GJ 180 b,GJ 180,b,Radial Velocity,2014,17.38,0.103,,,,,M2 V,3371.0,,0.43,73.460097,-17.776194,11.9407,83.7182
598,GJ 180 b,GJ 180,b,Radial Velocity,2014,17.133,0.092,,,,,,,,0.43,73.460097,-17.776194,11.9407,83.7182
599,GJ 180 c,GJ 180,c,Radial Velocity,2014,24.329,0.129,,,,,M2 V,3371.0,,0.43,73.460097,-17.776194,11.9407,83.7182
600,GJ 180 d,GJ 180,d,Radial Velocity,2020,106.3,0.309,,,,,,,,0.43,73.460097,-17.776194,11.9407,83.7182
601,GJ 2030 b,GJ 2030,b,Radial Velocity,2022,2.38129,0.034,,,,,,,,0.96,50.8237604,-7.7950429,37.0788,26.9407
602,GJ 2030 c,GJ 2030,c,Radial Velocity,2022,25533.11353,16.761,,,4069.15709482,12.803,,,,0.96,50.8237604,-7.7950429,37.0788,26.9407
603,GJ 2056 b,GJ 2056,b,Radial Velocity,2020,69.971,0.283,,,,,,,,0.62,108.0194945,-24.8921008,28.4434,35.1286
604,GJ 2126 b,GJ 2126,b,Radial Velocity,2025,272.7,0.71,,,,,M0 V,4159.0,0.728,0.65,257.3606793,-35.391719,38.129,26.1982
605,GJ 229 A c,GJ 229,c,Radial Velocity,2020,121.93268,0.384,,,,,,,,0.509,92.6435993,-21.8677233,5.75624,173.696
606,GJ 229 A c,GJ 229,c,Radial Velocity,2020,121.995,0.339,,,,,,,,0.58,92.6435993,-21.8677233,5.75624,173.696
607,GJ 229 b,GJ 229,b,Radial Velocity,2014,471.0,0.97,,,,,M1/M2 V,3564.0,,0.58,92.6435993,-21.8677233,5.75624,173.696
608,GJ 229 b,GJ 229,b,Radial Velocity,2014,526.115,0.898,,,,,,,,0.58,92.6435993,-21.8677233,5.75624,173.696
609,GJ 229 b,GJ 229,b,Radial Velocity,2014,579.47495,1.086,,,,,,,,0.509,92.6435993,-21.8677233,5.75624,173.696
610,GJ 238 b,GJ 238,b,Transit,2024,1.7446999,0.02123,0.566,0.05049522,,,M2.5 V,3485.0,0.4314,0.4193,98.454881,-58.5250316,15.2142,65.6992
611,GJ 238 b,GJ 238,b,Transit,2024,1.7447031,,0.591815,0.05279829,,,,3445.0,0.43,,98.454881,-58.5250316,15.2142,65.6992
612,GJ 251 b,GJ 251,b,Radial Velocity,2020,14.238,0.0818,,,,,M3.0 V,3451.0,0.364,0.36,103.7002499,33.2664632,5.58057,179.164
613,GJ 27.1 b,GJ 27.1,b,Radial Velocity,2014,15.819,0.101,,,,,M0.5 V,3542.0,,0.53,9.9980016,-44.2541679,23.6062,42.3328
614,GJ 273 b,GJ 273,b,Radial Velocity,2017,18.6498,0.091101,,,,,M3.5,3382.0,0.293,0.29,111.852091,5.225807,5.921535,263.26
615,GJ 273 c,GJ 273,c,Radial Velocity,2017,4.7234,0.036467,,,,,M3.5,3382.0,0.293,0.29,111.852091,5.225807,5.921535,263.26
616,GJ 3021 b,GJ 3021,b,Radial Velocity,2000,133.71,0.49,,,,,G6 V,5540.0,0.9,0.9,4.0634323,-79.8514218,17.5559,56.9319
617,GJ 3082 b,GJ 3082,b,Radial Velocity,2020,11.949,0.079,,,,,,,,0.47,18.6432425,-53.9407751,16.6186,60.1445
618,GJ 3090 b,GJ 3090,b,Transit,2022,2.8531054,0.03165,2.13,0.1900262,3.34,0.01050882,M2 V,3556.0,0.516,0.519,20.4384281,-46.7147234,22.4751,44.4649
619,GJ 3090 b,GJ 3090,b,Transit,2022,2.8531016,,2.02068,0.18027331,,,,3703.0,0.52,,20.4384281,-46.7147234,22.4751,44.4649
620,GJ 3138 b,GJ 3138,b,Radial Velocity,2017,1.22003,0.0197,,,,,M0,3717.0,0.5,0.681,32.2977385,-16.3392495,28.4712,35.0943
621,GJ 3138 c,GJ 3138,c,Radial Velocity,2017,5.974,0.057,,,,,M0,3717.0,0.5,0.681,32.2977385,-16.3392495,28.4712,35.0943
622,GJ 3138 d,GJ 3138,d,Radial Velocity,2017,257.8,0.698,,,,,M0,3717.0,0.5,0.681,32.2977385,-16.3392495,28.4712,35.0943
623,GJ 317 b,GJ 317,b,Radial Velocity,2007,692.9,0.95,,,,,M3.5 V,,,0.26,130.2445254,-23.452809,15.1968,65.7744
624,GJ 317 b,GJ 317,b,Radial Velocity,2007,692.0,1.15,,,794.5,2.5,M2.5 V,3510.0,,0.42,130.2445254,-23.452809,15.1968,65.7744
625,GJ 317 b,GJ 317,b,Radial Velocity,2007,695.66,1.151,,,,,,,,0.42,130.2445254,-23.452809,15.1968,65.7744
626,GJ 317 b,GJ 317,b,Radial Velocity,2007,695.69,1.138,,,,,M3.5 V,3496.0,0.403,0.402,130.2445254,-23.452809,15.1968,65.7744
627,GJ 317 b,GJ 317,b,Radial Velocity,2007,695.36,1.18,,,,,,3492.73,0.431834,0.453271,130.2445254,-23.452809,15.1968,65.7744
628,GJ 317 c,GJ 317,c,Radial Velocity,2018,6500.0,5.04,,,,,M3.5 V,3496.0,0.403,0.402,130.2445254,-23.452809,15.1968,65.7744
629,GJ 317 c,GJ 317,c,Radial Velocity,2018,5312.0,,,,,,,,,0.24,130.2445254,-23.452809,15.1968,65.7744
630,GJ 317 c,GJ 317,c,Radial Velocity,2018,6739.323,5.23,,,,,,,,0.42,130.2445254,-23.452809,15.1968,65.7744
631,GJ 317 c,GJ 317,c,Radial Velocity,2018,7500.0,5.78,,,,,,3492.73,0.431834,0.453271,130.2445254,-23.452809,15.1968,65.7744
632,GJ 317 c,GJ 317,c,Radial Velocity,2018,10000.0,25.0,,,,,M2.5 V,3510.0,,0.42,130.2445254,-23.452809,15.1968,65.7744
633,GJ 3222 b,GJ 3222,b,Radial Velocity,2022,10.66669,0.091,,,,,,,,0.89,50.8972464,-40.0762325,18.23817,54.8301
634,GJ 328 b,GJ 328,b,Radial Velocity,2013,4100.0,4.5,,,,,M1,3900.0,,0.69,133.7819507,1.5420011,20.5266,48.6883
635,GJ 328 b,GJ 328,b,Radial Velocity,2013,3771.0,4.11,,,,,M0.0,3897.0,0.63,0.65,133.7819507,1.5420011,20.5266,48.6883
636,GJ 328 c,GJ 328,c,Radial Velocity,2023,241.8,0.657,,,,,M0.0,3897.0,0.63,0.65,133.7819507,1.5420011,20.5266,48.6883
637,GJ 3293 b,GJ 3293,b,Radial Velocity,2015,30.6,0.1434,,,,,M2.5,3466.0,0.404,0.42,67.1484425,-25.1713396,20.1903,49.4999
638,GJ 3293 b,GJ 3293,b,Radial Velocity,2015,30.5987,0.14339,,,,,M2.5,3466.0,0.404,0.42,67.1484425,-25.1713396,20.1903,49.4999
639,GJ 3293 c,GJ 3293,c,Radial Velocity,2015,122.6196,0.36175,,,,,M2.5,3466.0,0.404,0.42,67.1484425,-25.1713396,20.1903,49.4999
640,GJ 3293 c,GJ 3293,c,Radial Velocity,2015,123.75,0.364,,,,,M2.5,3466.0,0.404,0.42,67.1484425,-25.1713396,20.1903,49.4999
641,GJ 3293 d,GJ 3293,d,Radial Velocity,2017,48.1345,0.19394,,,,,M2.5,3466.0,0.404,0.42,67.1484425,-25.1713396,20.1903,49.4999
642,GJ 3293 e,GJ 3293,e,Radial Velocity,2017,13.2543,0.08208,,,,,M2.5,3466.0,0.404,0.42,67.1484425,-25.1713396,20.1903,49.4999
643,GJ 3323 b,GJ 3323,b,Radial Velocity,2017,5.3636,0.03282,,,,,M4,3159.0,0.119,0.164,75.4868824,-6.9485133,5.37484,186.023
644,GJ 3323 c,GJ 3323,c,Radial Velocity,2017,40.54,0.1264,,,,,M4,3159.0,0.119,0.164,75.4868824,-6.9485133,5.37484,186.023
645,GJ 3341 b,GJ 3341,b,Radial Velocity,2015,14.207,0.089,,,,,M2.5,3526.0,0.439,0.47,78.9471415,-31.2948458,23.619,42.3099
646,GJ 338 B b,GJ 338 B,b,Radial Velocity,2020,24.45,0.141,,,,,M0.0 V,4005.0,0.58,0.64,138.5916722,52.6835211,6.33256,157.885
647,GJ 338 B b,GJ 338 B,b,Radial Velocity,2020,24.422,0.142,,,,,M0 V,4014.0,0.58,0.64,138.5916722,52.6835211,6.33256,157.885
648,GJ 341 b,GJ 341,b,Transit,2025,7.57686,,0.88,0.07850848,4.0,0.01258541,M1,3770.0,0.5066,0.48,140.3993759,-60.2811692,10.454,95.6279
649,GJ 341 b,GJ 341,b,Transit,2025,7.5768334,,0.867887,0.07742783,,,,3766.0,0.53,,140.3993759,-60.2811692,10.454,95.6279
650,GJ 3470 b,GJ 3470,b,Radial Velocity,2012,3.33665106329,,4.13050781,0.36849986,,,,3552.0,0.499698,,119.7735021,15.391209,29.4214,33.9601
651,GJ 3470 b,GJ 3470,b,Radial Velocity,2012,3.3366496,0.0355,4.57,0.40770809,13.9,0.04373407,,3600.0,0.547,0.539,119.7735021,15.391209,29.4214,33.9601
652,GJ 3470 b,GJ 3470,b,Radial Velocity,2012,3.3366487,0.031,3.88,0.346,13.73,0.043,,3652.0,0.48,0.51,119.7735021,15.391209,29.4214,33.9601
653,GJ 3470 b,GJ 3470,b,Radial Velocity,2012,3.3366413,,,,,,,3552.0,0.499698,0.497757,119.7735021,15.391209,29.4214,33.9601
654,GJ 3470 b,GJ 3470,b,Radial Velocity,2012,3.336665,,,,,,,3552.0,0.499698,0.497757,119.7735021,15.391209,29.4214,33.9601
655,GJ 3470 b,GJ 3470,b,Radial Velocity,2012,3.3366524,,,,,,M1.5,3600.0,0.503,0.541,119.7735021,15.391209,29.4214,33.9601
656,GJ 3470 b,GJ 3470,b,Radial Velocity,2012,3.336649,,3.88,0.34615041,12.58,0.03958091,M1.5,3652.0,0.48,0.51,119.7735021,15.391209,29.4214,33.9601
657,GJ 3470 b,GJ 3470,b,Radial Velocity,2012,3.33665,0.03557,4.83,0.43090374,13.9,0.04373407,,3600.0,0.568,0.539,119.7735021,15.391209,29.4214,33.9601
658,GJ 3470 b,GJ 3470,b,Radial Velocity,2012,3.336649,,,,,,,3552.0,0.499698,0.497757,119.7735021,15.391209,29.4214,33.9601
659,GJ 3470 b,GJ 3470,b,Radial Velocity,2012,3.33714,0.0348,4.2,0.37,14.0,0.044,M1.5,3600.0,0.503,0.541,119.7735021,15.391209,29.4214,33.9601
660,GJ 3470 b,GJ 3470,b,Radial Velocity,2012,3.336649,0.03596,4.32,0.38540459,14.1,0.04436334,,,0.526,0.557,119.7735021,15.391209,29.4214,33.9601
661,GJ 3473 b,GJ 3473,b,Transit,2020,1.1980035,0.01589,1.264,0.11276653,1.86,0.00585219,,3347.0,0.364,0.36,120.5936065,3.3371629,27.3644,36.515
662,GJ 3473 b,GJ 3473,b,Transit,2020,1.19799956042,,1.21073388,0.10801463,,,,3332.0,0.354529,,120.5936065,3.3371629,27.3644,36.515
663,GJ 3473 c,GJ 3473,c,Radial Velocity,2020,15.509,0.0876,,,,,,3347.0,0.364,0.36,120.5936065,3.3371629,27.3644,36.515
664,GJ 3512 b,GJ 3512,b,Radial Velocity,2019,203.69,0.337,,,,,M5.5 V,3081.0,0.139,0.123,130.3316616,59.4918364,9.48637,105.386
665,GJ 3512 b,GJ 3512,b,Radial Velocity,2019,203.109,0.3376,,,,,M5.5 V,3141.0,0.139,0.123,130.3316616,59.4918364,9.48637,105.386
666,GJ 3512 b,GJ 3512,b,Radial Velocity,2019,203.59,0.338,,,,,M5.5 V,3081.0,0.139,0.123,130.3316616,59.4918364,9.48637,105.386
